user_name;user_id;accommodation_id;accommodation_name;accommodation_address;accommodation_city;accommodation_postal_code;accommodation_country;accommodation_type;distribution;max_guests;last_update
"Ontiveros, Calderón y Quezada e Hijos";275;1;"Hotel María Carmen ";"Ronda Guillem, 1, 34º A";"L' Acuña";04478;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1}]}";2;"2021-06-04 04:40:07"
"Salvador de Sisneros";30;2;"Apartamentos Alicia playa";"Avinguda De la Fuente, 5, 9º A";"La Giménez";96681;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":3}]}";6;"2021-07-17 17:42:40"
"Centro Pedroza-Lorenzo";228;3;"Hotel Eric park";"Passeig Blanca, 1, 3º D";"O Salas de Arriba";88601;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";3;"2020-03-30 11:08:39"
"Gallegos-Garay y Asoc.";630;4;"Villa Gonzalo park";"Ronda Otero, 224, Ático 7º";"Villa Vergara";38751;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":3}]}";13;"2019-12-13 00:58:10"
"Grupo Hurtado e Hijos";195;5;"Villa César resort";"Rúa Olivia, 650, 6º F";"Las Casas Baja";33494;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3},{""beds"":3}]}";13;"2021-09-22 12:21:41"
"Air Vallejo";509;6;"Apartamento Paula resort";"Travesía Camarillo, 972, Bajo 7º";"La Martí de Ulla";18588;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":2}]}";6;"2020-10-19 02:21:26"
"Arias de Madrid S. de H.";300;7;"Apartamentos Francisca playa";"Camino Pedraza, 7, 6º A";"Tórrez de la Sierra";37395;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":3},{""beds"":3}]}";7;"2020-05-03 13:41:37"
"Hernando-Alba SRL";590;8;"Apartamento Noa ";"Passeig Puente, 55, 81º C";"Los Peralta del Vallès";88244;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":2},{""beds"":1}]}";7;"2021-08-24 06:23:26"
"Corporación Hinojosa e Hijo";388;9;"Apartamento Naia playa";"Passeig María Ángeles, 50, 86º D";"As Collazo";59037;ES;FLAT;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2}]}";2;"2020-12-18 19:17:54"
"Global Ordoñez y Flia.";311;10;"Villa Samuel park";"Rúa Candela, 478, 1º F";"Os Regalado del Penedès";50778;ES;HOUSE;"{""living_rooms"":1,""bed_rooms"":[{""beds"":2},{""beds"":3},{""beds"":3}]}";10;"2019-11-29 18:39:22"
"Asociación Reyna y Asoc.";560;11;"Villa María ";"Avenida Gael, 93, 5º C";"Limón del Bages";81472;ES;VILLA;"{""living_rooms"":1,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":2}]}";6;"2021-10-15 04:05:22"
"Grupo Coronado";481;12;"Apartamento Andrés park";"Ronda Espinosa, 8, Bajos";"Aparicio de San Pedro";17270;ES;VILLA;"{""living_rooms"":2,""bed_rooms"":[{""beds"":1},{""beds"":1},{""beds"":1},{""beds"":2},{""beds"":2}]}";10;"2020-11-29 21:18:10"
"Puga de Lomeli e Hijos";299;13;"Casa rural Leire ";"Paseo Inmaculada, 692, 2º";"Villa Moreno";26893;ES;VILLA;"{""living_rooms"":3,""bed_rooms"":[{""beds"":3},{""beds"":2},{""beds"":1},{""beds"":2},{""beds"":1}]}";13;"2020-01-10 12:05:05"
